,casos_3156700,p_rt1_3156700,Rt_3156700,p_inc100k_3156700,temp_min_3156700,temp_max_3156700,umid_min_3156700,umid_max_3156700,pressao_min_3156700,pressao_max_3156700,precip_tot_3156700,casos_3154606,p_rt1_3154606,Rt_3154606,p_inc100k_3154606,temp_min_3154606,temp_max_3154606,umid_min_3154606,umid_max_3154606,pressao_min_3154606,pressao_max_3154606,precip_tot_3154606,casos_3106200,p_rt1_3106200,Rt_3106200,p_inc100k_3106200,temp_min_3106200,temp_max_3106200,umid_min_3106200,umid_max_3106200,pressao_min_3106200,pressao_max_3106200,precip_tot_3106200,temp_mean_3106200,temp_amp_3106200,umid_mean_3106200,umid_amp_3106200,pressao_mean_3106200,temp_mean_3154606,temp_amp_3154606,umid_mean_3154606,umid_amp_3154606,pressao_mean_3154606,temp_mean_3156700,temp_amp_3156700,umid_mean_3156700,umid_amp_3156700,pressao_mean_3156700
2010-01-03,2,0.0,0.0,1.4585233,18.525752571428573,25.044137142857146,71.9399872857143,95.32851714285714,0.99720223,1.0006784342857142,4.246901371285714,5,0.0,0.0,1.4784282,19.241102,25.850302714285714,71.53673014285714,95.09471542857143,0.9966980999999999,1.0002595571428572,4.484275714285714,339,0.0,0.0,13.444037,18.850490142857144,25.549176857142857,71.85170071428571,95.95584857142856,0.99696846,1.000531132857143,4.410828542828571,22.1998335,6.698686714285714,83.90377464285714,24.10414785714285,0.0017813364285714783,22.545702357142858,6.609200714285713,83.31572278571429,23.557985285714295,0.0017807285714286358,21.78494485714286,6.518384571428573,83.63425221428571,23.388529857142842,0.0017381021428571342
2010-01-10,10,0.0,0.0,7.2926164,18.31714285714286,27.72920457142857,59.929599714285715,93.28317,0.9989276,1.0026902228571428,1.2736642942857141,11,0.0,0.0,3.2525423,19.251482285714285,28.818276571428573,57.982910000000004,89.8809922857143,0.9980266542857142,1.0019981857142857,1.1556728585714284,490,0.0,0.0,19.432384,18.84163985714286,28.363634428571427,58.66061271428571,91.26550714285715,0.9983584685714285,1.0022511714285716,1.1397656714285713,23.60263714285714,9.521994571428568,74.96305992857143,32.604894428571434,0.0019463514285715244,24.03487942857143,9.566794285714288,73.93195114285714,31.898082285714295,0.0019857657142857144,23.023173714285715,9.412061714285713,76.60638485714286,33.353570285714284,0.0018813114285713972
2010-01-17,12,0.0,0.0,8.75114,18.668217142857145,27.662532285714285,56.945291999999995,89.78532357142856,1.0007036828571427,1.0043954142857143,1.494851428,10,0.0,0.0,2.9568565,19.760423857142857,28.67227614285714,55.89312385714286,87.41849071428571,0.9997638057142858,1.0035997857142858,0.398148577,587,0.0,0.0,23.279203,19.232548285714284,28.352355857142857,55.97677442857143,88.82753128571429,1.0000708228571429,1.003907542857143,0.7479572030000001,23.79245207142857,9.119807571428574,72.40215285714285,32.850756857142855,0.0019183600000000078,24.21635,8.911852285714282,71.65580728571429,31.52536685714285,0.0019179899999999805,23.165374714285715,8.99431514285714,73.36530778571428,32.84003157142857,0.0018458657142857993
2010-01-24,21,0.0,0.0,15.314494,18.199886,27.764652714285713,56.930172000000006,91.83138785714286,0.9995424657142857,1.0036880714285714,1.7017885742857144,32,0.0,0.0,9.461941,19.60896942857143,29.031838714285715,53.68539199999999,86.96517357142856,0.9985906257142857,1.0029572857142857,0.8793642995714286,903,0.0,0.0,35.811108,19.069963857142856,28.613821714285713,54.460475714285714,89.321803,0.9988934714285714,1.003231757142857,0.7785971500000001,23.841892785714286,9.543857857142857,71.89113935714286,34.86132728571429,0.002169142857142814,24.320404071428573,9.422869285714285,70.32528278571428,33.27978157142857,0.0021833299999999833,22.982269357142854,9.564766714285714,74.38077992857143,34.90121585714285,0.0020728028571428414
2010-01-31,27,0.0,0.0,19.690063,18.099456714285715,27.00974385714286,56.594181142857146,91.08769642857143,0.9998195442857142,1.003403642857143,0.3538914284285714,37,0.0,0.0,10.940369,19.64443514285714,28.258423,56.01618985714286,85.56909499999999,0.9988335257142857,1.002441142857143,0.39226141428571426,1140,0.0,0.0,45.210037,19.093776,27.882738571428572,55.403904142857144,86.87961371428571,0.9991553285714286,1.0027890857142856,0.28433857142857144,23.488257285714283,8.788962571428574,71.14175892857142,31.475709571428567,0.0018168785714284819,23.95142907142857,8.61398785714286,70.79264242857143,29.552905142857128,0.001803808571428589,22.554600285714287,8.910287142857143,73.84093878571429,34.49351528571429,0.0017920492857143588
2010-02-07,30,0.9241791,1.5012649,21.87785,18.269404714285717,28.22998457142857,51.61356671428571,92.254605,1.0002278871428572,1.0046457714285715,0.37901856085714286,53,0.99792624,1.9191524,15.671339,19.67051914285714,29.517551857142855,49.39233614285714,85.28089971428572,0.9991349500000001,1.0038237428571428,0.18310714614285714,1233,1.0,1.4129261,48.898224,19.131556999999997,29.065468857142857,49.88315471428571,88.41137742857143,0.9995072514285714,1.0041330285714287,0.34527569900000005,24.098512928571427,9.93391185714286,69.14726607142856,38.52822271428572,0.0023128885714286396,24.594035499999997,9.847032714285714,67.33661792857143,35.888563571428584,0.0023443964285713714,23.249694642857143,9.960579857142854,71.93408585714286,40.64103828571429,0.002208942142857162
2010-02-14,52,0.99816555,1.9540089,37.921604,17.67603414285714,27.653246,54.90849814285714,94.87375999999999,0.9996633714285714,1.0032688857142857,1.9325755714285717,69,0.99778163,1.7405307,20.40231,19.011705714285714,29.549207428571428,47.876274714285714,90.24532628571428,0.9984871814285714,1.00250692,0.23674857285714285,1659,1.0,1.5148965,65.7925,18.445648142857145,28.767120428571427,51.05294514285714,92.48644,0.9989285671428572,1.0027786428571428,0.6009328542857143,23.606384285714284,10.321472285714282,71.76969257142858,41.43349485714286,0.0019250378571428195,24.280456571428573,10.537501714285714,69.0608005,42.36905157142857,0.0020098692857143385,22.664640071428572,9.977211857142859,74.89112907142857,39.96526185714285,0.0018027571428571587
2010-02-21,65,0.99838036,1.8165709,47.402004,18.537881,28.344866285714286,54.511858714285715,91.15715285714285,1.0004258714285714,1.0044571714285715,0.4284842862857143,120,0.9999997,2.1800241,35.482277,20.139914285714287,30.41854,47.64752271428571,83.69468214285715,0.9990887285714286,1.0034949,0.20119999714285713,2697,1.0,1.9740787,106.95743,19.565966,29.812805142857144,49.48759385714286,86.73392371428572,0.9995242271428572,1.0038275428571428,0.21180284728571427,24.689385571428573,10.246839142857144,68.1107587857143,37.24632985714286,0.00215165785714283,25.279227142857145,10.278625714285713,65.67110242857143,36.04715942857144,0.0022030857142856797,23.441373642857144,9.806985285714287,72.83450578571428,36.64529414285713,0.0020156500000000355
2010-02-28,90,0.9996637,1.7948363,65.633545,18.196707714285715,27.06072142857143,58.28487685714286,92.27841771428572,0.9987091699999999,1.0027795428571429,0.7294185657142858,175,1.0,2.1611018,51.744987,19.957750714285712,28.990849142857144,53.992143285714285,87.42121157142857,0.997426477142857,1.0018350999999999,0.986037138,2998,1.0,1.6290946,118.89446,19.313420142857144,28.419180714285712,54.48021385714286,89.038692,0.9978820357142857,1.0020988714285715,0.6017471762857143,23.866300428571428,9.105760571428569,71.75945292857142,34.55847814285714,0.0021084178571428858,24.474299928571426,9.033098428571432,70.70667742857142,33.42906828571429,0.002204311428571415,22.628714571428574,8.864013714285715,75.28164728571429,33.99354085714286,0.0020351864285714782
2010-03-07,157,1.0,2.226638,114.49407,18.042833714285713,24.178924571428574,78.29869471428572,98.4234037142857,0.9982182314285714,1.0018002557142858,4.168528571428571,215,0.9999999,1.7687935,63.572414,19.18763542857143,25.276920714285716,77.38002471428571,96.27942571428571,0.9969892528571428,1.0008260142857144,5.629794257142857,3373,1.0,1.3730016,133.76619,18.801456857142856,25.040937285714286,76.87965185714286,96.87732342857143,0.99737531,1.0011387571428572,5.213597171428572,21.921197071428573,6.239480428571429,86.87848764285715,19.99767157142857,0.001881723571428573,22.232278071428574,6.089285285714286,86.8297252142857,18.899400999999997,0.0019183807142857945,21.110879142857144,6.136090857142861,88.36104921428571,20.12470899999998,0.0017910121428572068
